year,title,imdb_id,boxofficemojo_id,tmdb_id,qid,budget,box_office_start_date,box_office_end_date,box_office_gross
2003,Daddy Day Care,tt0317303,rl3729622529,10708,Q980223,,2003-05-09,,103100000
2003,Down with Love,tt0309530,rl1699644929,10720,Q672528,,2003-05-09,,20300000
2003,Dumb and Dumberer: When Harry Met Lloyd,tt0329028,rl3780019713,10152,Q1265087,,2003-06-13,,26100000
2003,Finding Nemo,tt0266543,rl2723382785,12,Q132863,,2003-05-30,,332720000
2003,Freaky Friday,tt0322330,rl4048717313,10330,Q118713,,2003-08-08,,90840000
2003,Freddy vs. Jason,tt0329101,rl3914499585,6466,Q965859,,2003-08-15,,73940000
2003,From Justin to Kelly,tt0339034,rl408258049,31246,Q1714159,,2003-06-20,,4920000
2003,Gigli,tt0299930,rl1012172289,8046,Q260533,,2003-08-01,,5660000
2003,Hollywood Homicide,tt0329717,rl4133062145,11375,Q1624927,,2003-06-13,,30010000
2003,How to Deal,tt0319524,rl1129874945,17403,Q606244,,2003-07-18,,14110000
2003,Hulk,tt0286716,rl2488829441,1927,Q696042,,2003-06-20,,131770000
2003,Jeepers Creepers 2,tt0301470,rl3311044097,11351,Q1540379,,2003-08-29,,18370000
2003,Johnny English,tt0274166,rl1784514049,9486,Q337881,,2003-07-18,,27640000
2003,"Legally Blonde 2: Red, White & Blonde",tt0333780,rl878609921,10327,Q644969,,2003-07-02,,89810000
2003,My Boss's Daughter,tt0270980,rl2806416897,2830,Q1338266,,2003-08-22,,11620000
2003,Open Range,tt0316356,rl3999696385,2055,Q1546370,,2003-08-15,,43480000
2003,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,rl4134045185,22,Q46717,,2003-07-09,,275020000
2003,Rugrats Go Wild,tt0337711,rl3614213633,20694,Q3180765,,2003-06-13,,39290000
2003,SWAT,tt0257076,rl3279062529,9257,,,2003-08-08,,102700000
2003,Seabiscuit,tt0329575,rl3312420353,4464,Q179018,,2003-07-25,,104650000
2003,Sinbad: Legend of the Seven Seas,tt0165982,rl2977007105,14411,Q1043425,,2003-07-02,,26180000
2003,Spy Kids: 3-D,tt0338459,rl1936950785,12279,,,2003-07-25,,107420000
2003,Terminator 3: Rise of the Machines,tt0181852,rl3413476865,296,Q29054009,,2003-07-02,,149090000
2003,The In-Laws,tt0314786,rl3931866625,5146,Q1305746,,2003-05-23,,20440000
2003,The Italian Job,tt0317740,rl3210380801,9654,Q648312,,2003-05-30,,100890000
2003,The League of Extraordinary Gentlemen,tt0311429,rl3512698369,8698,Q567577,,2003-07-11,,65250000
2003,The Legend of Suriyothai,tt0290879,rl626951681,27329,,,2003-06-20,,410000
2003,The Lizzie McGuire Movie,tt0306841,rl258049537,18736,Q743190,,2003-05-02,,42670000
2003,The Matrix Reloaded,tt0234215,rl4167271937,604,Q189600,,2003-05-15,,279770000
2003,The Medallion,tt0288045,rl3311633921,10610,Q375775,,2003-08-22,,16870000
2003,Tomb Raider 2: The Cradle of Life,tt0325703,rl846693889,1996,,,2003-07-25,,63980000
2003,Wrong Turn,tt0295700,rl1618642433,9902,Q388944,,2003-05-30,,15380000
2003,X2: X-Men United,tt0290334,rl1736082945,36658,Q219776,,2003-05-02,,214910000
2004,A Cinderella Story,tt0356470,rl4249585153,11247,Q276415,,2004-07-16,,50810000
2004,Alien vs. Predator,tt0370263,rl776308225,395,Q155163,,,,77030000
2004,Anchorman,tt0357413,rl3628303873,8699,,,,,84140000
2004,Around the World in 80 Days,tt0327437,rl2923595265,10204,Q156519,,2004-06-16,,23970000
2004,Badassssss!,tt0367790,rl306546177,28219,,,2004-05-28,,370000
2004,Breaking All the Rules,tt0349169,rl3460728321,16428,,,2004-05-14,,11830000
2004,Catwoman,tt0327554,rl2236122625,314,Q115760,,2004-07-23,,39520000
2004,Collateral,tt0369339,rl1078625793,1538,Q110203,,,,88900000
2004,Dodgeball: A True Underdog Story,tt0364725,rl3578758657,9472,Q908473,,,,113730000
2004,Fahrenheit 9/11,tt0361596,rl2672854529,1777,Q221852,,,,118000000
2004,Garfield,tt0356634,rl3025503745,8920,,,,,75000000
2004,Harold & Kumar Go to White Castle,tt0366551,rl1331070465,11282,Q607643,,2004-07-30,,18130000
2004,Harry Potter and the Prisoner of Azkaban,tt0304141,rl1449887233,673,Q102448,,,,248340000
2004,"I, Robot",tt0343818,rl1616545281,2048,Q200572,,,,141870000
2004,King Arthur,tt0349683,rl1365018113,9477,Q337090,,2004-07-07,,51610000
2004,Little Black Book,tt0361841,rl962692609,14846,Q1212304,,2004-08-05,,20310000
2004,New York Minute,tt0363282,rl812025345,11025,Q1305784,,2004-05-07,,14020000
2004,Raising Helen,tt0350028,rl3798631937,4599,Q1422400,,2004-05-26,,37490000
2004,Shrek 2,tt0298148,rl24217089,809,Q485983,,,,436470000
2004,Sleepover,tt0368975,rl3362883073,9893,Q929325,,2004-07-09,,8070000
2004,Soul Plane,tt0367085,rl2238744065,12657,Q2575316,,2004-05-28,,13920000
2004,Spider-Man 2,tt0316654,rl896763393,558,Q190145,,,,369890000
2004,The Bourne Supremacy,tt0372183,rl2487649793,2502,Q156608,,,,164770000
2004,The Chronicles of Riddick,tt0296572,rl2521531905,2789,Q471976,,2004-06-11,,57640000
2004,The Day After Tomorrow,tt0319262,rl1716291073,435,Q14320,,,,186370000
2004,The Manchurian Candidate,tt0368008,rl3412100609,14462,Q3589,,,,62500000
2004,The Notebook,tt0332280,rl4201088513,11036,Q223374,,,,78480000
2004,The Princess Diaries 2: Royal Engagement,tt0368933,rl4285236737,11130,Q696096,,,,85500000
2004,The Stepford Wives,tt0327162,rl3782444545,9890,Q1212768,,2004-06-11,,59450000
2004,The Terminal,tt0362227,rl3463808513,594,Q318766,,,,77030000
2004,The Village,tt0368447,rl1132037633,6947,Q465227,,,,112180000
2004,Thunderbirds,tt0167456,rl2591327745,14623,Q1506377,,2004-07-30,,6770000
2004,Troy,tt0332452,rl3698820609,652,Q186587,,,,133229999
2004,Two Brothers,tt0338512,rl1953924609,1997,Q231998,,2004-06-25,,18950000
2004,Van Helsing,tt0338526,rl175736321,7131,Q211009,,,,120030000
2004,White Chicks,tt0381707,rl578520577,12153,Q575848,,,,69150000
2005,Bad News Bears,tt0408524,rl1279624705,13341,Q1211837,,2005-07-22,,32689999
2005,Batman Begins,tt0372784,rl3510994433,272,Q166262,,2005-06-17,,203640000
2005,Bewitched,tt0374536,rl3510928897,9722,Q1356410,,2005-06-24,,62250000
2005,Charlie and the Chocolate Factory,tt0367594,rl659260929,118,Q218235,,2005-07-15,,201340000
2005,Cinderella Man,tt0352248,rl4182476289,921,Q647546,,2005-06-03,,61550000
2005,Crash,tt0375679,rl1817019905,1640,Q188000,,2005-05-03,,53300000
2005,Dark Water,tt0382628,rl2068612609,9009,Q1166244,,2005-07-08,,25190000
2005,Deuce Bigelow: European Gigolo,tt0367652,rl1750042113,11453,,,2005-08-12,,21580000
2005,Fantastic Four,tt0120667,rl3662710273,9738,Q224130,,2005-07-08,,152730000
2005,Four Brothers,tt0430105,rl2941421057,8292,Q1411345,,2005-08-12,,64349999
2005,Herbie: Fully Loaded,tt0400497,rl358188545,11451,Q641492,,2005-06-24,,65220000
2005,House of Wax,tt0397065,rl1515750913,10066,Q679679,,2005-05-03,,32049999
2005,Hustle & Flow,tt0410097,rl3680011777,10476,Q1474263,,2005-07-22,,21940000
2005,Kicking & Screaming,tt0384642,rl140281345,9981,Q284086,,2005-05-13,,52580000
2005,Kingdom of Heaven,tt0320661,rl1448904193,1495,Q207698,,2005-05-03,,47400000
2005,Land of the Dead,tt0418819,rl2103412225,11683,Q1500141,,2005-06-24,,20430000
2005,Lords of Dogtown,tt0355702,rl2925626881,9787,Q836622,,2005-06-03,,11010000
2005,Madagascar,tt0351283,rl1398834689,953,Q174555,,2005-05-27,,191590000
2005,March of the Penguins,tt0428803,rl1818461697,1667,Q330113,,2005-06-24,,63570000
2005,Monster-in-Law,tt0369735,rl1885701633,4379,Q682904,,2005-05-13,,82930000
2005,Mr. & Mrs. Smith,tt0356910,rl2238023169,787,Q191040,,2005-06-10,,184640000
2005,Must Love Dogs,tt0417001,rl627344897,11648,Q151811,,2005-07-29,,42610000
2005,Rebound,tt0376108,rl258835969,7233,Q188335,,2005-07-01,,16790000
2005,Red Eye,tt0421239,rl1869448705,11460,Q599430,,2005-08-19,,45520000
2005,Rize,tt0436724,rl1902937601,2287,Q2627652,,2005-06-24,,3280000
2005,Shark Boy & Lava Girl,tt0424774,rl3916334593,14199,,,2005-06-10,,39100000
2005,Sisterhood of the Travelling Pants,tt0403508,rl2322695681,9779,,,2005-06-03,,38990000
2005,Sky High,tt0405325,rl4017194497,11459,Q858508,,2005-07-29,,59350000
2005,Star Wars: Episode III - Revenge of the Sith,tt0121766,rl2943583745,1895,Q42051,,2005-05-19,,379810000
2005,Stealth,tt0382992,rl4235429377,10048,Q1148499,,2005-07-29,,31700000
2005,The 40-Year-Old Virgin,tt0405422,rl4165043713,6957,Q1139794,,2005-08-19,,71890000
2005,The Brothers Grimm,tt0355295,rl1414104577,4442,Q707880,,2005-08-26,,28750000
2005,The Dukes of Hazzard,tt0377818,rl3947791873,6519,Q2306995,,2005-08-05,,77520000
2005,The Honeymooners,tt0373908,rl995657217,21295,Q1626877,,2005-06-10,,12830000
2005,The Island,tt0399201,rl1314555393,1635,Q224069,,2005-07-22,,35800000
2005,The Longest Yard,tt0398165,rl1298236929,9291,Q1131669,,2005-05-27,,157800000
2005,The Perfect Man,tt0380623,rl2104002049,15648,Q1474655,,2005-06-24,,16250000
2005,The Skeleton Key,tt0397101,rl4218521089,9913,Q1199793,,2005-08-12,,43780000
2005,Unleashed,tt0342258,rl3715532289,10027,Q470507,,2005-05-13,,24380000
2005,War of the Worlds,tt0407304,rl544769537,74,Q202028,,2005-06-24,,232610000
2005,Wedding Crashers,tt0396269,rl1282967041,9522,Q238866,,2005-07-15,,195800000
2006,A Prairie Home Companion,tt0420087,rl2993391105,9526,Q785709,,2006-06-09,,20100000
2006,A Scanner Darkly,tt0405296,rl4184835585,3509,Q300547,,2006-07-07,,5370000
2006,Accepted,tt0384793,rl255886849,9788,Q1519049,,2006-08-18,,29140000
2006,An American Haunting,tt0429573,rl3175319041,10008,,,2006-05-05,,16300000
2006,An Inconvenient Truth,tt0497116,rl2757461505,1781,Q204670,,2006-05-26,,23180000
2006,Barnyard,tt0414853,rl4131751425,9907,Q1129308,,2006-07-28,,63780000
2006,Beerfest,tt0486551,rl1749321217,9988,Q857861,,2006-08-25,,14740000
2006,Cars,tt0317219,rl1195935233,920,Q182153,,2006-06-09,,241980000
2006,Clerks II,tt0424345,rl793413121,2295,Q784514,,2006-07-21,,24020000
2006,Click,tt0389860,rl541754881,9339,Q496654,,2006-06-23,,136510000
2006,Crank,tt0479884,rl1766688257,1948,Q150047,,2006-09-01,,12900000
2006,Descent,tt0435625,rl357533185,9392,,,2006-08-04,,25400000
2006,Garfield: A Tail of Two Kitties,tt0455499,rl3042280961,9513,Q587921,,2006-05-16,,28360000
2006,How to Eat Fried Worms,tt0462346,rl1062569473,24115,Q3285972,,2006-08-25,,9530000
2006,Idelwild,tt0417225,rl23692801,13816,,,2006-08-25,,10050000
2006,Invincible,tt0445990,rl2069530113,11652,Q1070160,,2006-08-25,,38070000
2006,John Tucker Must Die,tt0455967,rl1734182401,9293,Q771023,,2006-07-28,,40110000
2006,Just My Luck,tt0397078,rl4250764801,10025,Q228964,,2006-05-12,,17320000
2006,Lady in the Water,tt0452637,rl643794433,9697,Q621529,,2006-07-21,,41960000
2006,Little Man,tt0430304,rl4083058177,9072,Q581736,,2006-07-05,,58260000
2006,Little Miss Sunshine,tt0449059,rl4150167041,773,Q192073,,2006-07-28,,35730000
2006,Material Girls,tt0433412,rl2204337665,10118,Q93868,,2006-08-18,,10510000
2006,Miami Vice,tt0430357,rl1231193601,82,Q840495,,2006-07-28,,62820000
2006,Mission: Impossible III,tt0317919,rl1348634113,956,Q288173,,2006-05-05,,133380000
2006,Monster House,tt0385880,rl2137359873,9297,Q725842,,2006-07-21,,70900000
2006,My Super Ex-Girlfriend,tt0465624,rl4235363841,4474,Q1216648,,2006-07-21,,22230000
2006,Nacho Libre,tt0457510,rl3093595649,9353,Q909767,,2006-06-16,,80180000
2006,Over the Hedge,tt0327084,rl1785300481,7518,Q245366,,2006-05-19,,155020000
2006,Pirates of the Caribbean: Dead Man's Chest,tt0383574,rl4083713537,58,Q161087,,2006-07-07,,414010000
2006,Poseidon,tt0409182,rl1667991041,503,Q906633,,2006-05-12,,60660000
2006,Pulse,tt0454919,rl2070578689,9682,Q744911,,2006-08-11,,19270000
2006,See No Evil,tt0437179,rl2054063617,10007,Q1467545,,2006-05-19,,15020000
2006,Snakes on a Plane,tt0417148,rl376473089,326,Q822660,,2006-08-18,,31560000
2006,Step Up,tt0462590,rl3631449601,9762,Q180125,,2006-08-11,,58490000
2006,Superman Returns,tt0348150,rl4067591681,1452,Q328695,,2006-06-30,,196820000
2006,Talladega Nights: The Ballad of Ricky Bobby,tt0415306,rl2422507009,9718,Q1421593,,2006-08-04,,138300000
2006,The Ant Bully,tt0429589,rl4359681,9906,Q622758,,2006-07-28,,26700000
2006,The Break-Up,tt0452594,rl894010881,9767,Q833566,,2006-06-02,,118680000
2006,The Da Vinci Code,tt0382625,rl1632404993,591,Q160560,,2006-05-19,,217540000
2006,The Devil Wears Prada,tt0458352,rl1481606657,350,Q223316,,2006-06-30,,122040000
2006,The Fast and Furious 3: Tokyo Drift,tt0463985,rl676562433,9615,,,2006-06-16,,62490000
2006,The Lake House,tt0410297,rl157255169,2044,Q487138,,2006-06-16,,52220000
2006,The Omen,tt0466909,rl1348896257,806,Q518863,,2006-06-06,,54610000
2006,The Wicker Man,tt0450345,rl1736148481,9708,Q200827,,2006-09-01,,11740000
2006,Waist Deep,tt0456020,rl2272888321,9917,Q8088106,,2006-06-23,,21320000
2006,World Trade Center,tt0469641,rl125470209,1852,Q828547,,2006-08-11,,63770000
2006,X-Men: The Last Stand,tt0376994,rl1484424705,36668,Q221168,,2006-05-26,,234310000
2006,"You, Me and Dupree",tt0463034,rl2323285505,1819,Q289841,,2006-07-14,,74630000
2006,Zoom,tt0383060,rl930973185,14113,Q220299,,2006-08-11,,11410000
2007,1408,tt0450385,rl373392897,3021,Q203560,,2007-06-22,,71520000
2007,28 Weeks Later,tt0463854,rl1296139777,1562,Q221102,,2007-05-11,,28640000
2007,A Mighty Heart,tt0829459,rl2774697473,1988,Q917355,,2007-06-22,,9170000
2007,Becoming Jane,tt0416508,rl2068088321,2977,Q511879,,2007-08-03,,15720000
2007,Daddy Day Camp,tt0462244,rl3696068097,14144,Q1194810,,2007-08-08,,11870000
2007,Day Watch,tt0409904,,2269,Q529053,,,,
2007,Evan Almighty,tt0413099,rl609256961,2698,Q195949,,2007-06-22,,99450000
